Year,Constructors,Points
2022,RED BULL RACING,759
2022,FERRARI,554
2022,MERCEDES,515
2022,ALPINE RENAULT,173
2022,MCLAREN,159
2022,ALFA ROMEO,55
2022,ASTON MARTIN,55
2022,HAAS,37
2022,ALPHATAURI,35
2022,WILLIAMS,8
2021,RED BULL RACING,585.5
2021,FERRARI,323.5
2021,MERCEDES,613.5
2021,ALPINE RENAULT,155
2021,MCLAREN,275
2021,ALFA ROMEO,13
2021,ASTON MARTIN,77
2021,HAAS,0
2021,ALPHATAURI,142
2021,WILLIAMS,23
2020,RED BULL RACING,319
2020,FERRARI,131
2020,MERCEDES,573
2020,ALPINE RENAULT,181
2020,MCLAREN,202
2020,ALFA ROMEO,8
2020,ASTON MARTIN,195
2020,HAAS,3
2020,ALPHATAURI,107
2020,WILLIAMS,0
2019,RED BULL RACING,417
2019,FERRARI,504
2019,MERCEDES,739
2019,ALPINE RENAULT,91
2019,MCLAREN,145
2019,ALFA ROMEO,57
2019,ASTON MARTIN,73
2019,HAAS,28
2019,ALPHATAURI,85
2019,WILLIAMS,1