Year,Driver,Points,Constructor
2022,MAX,454,RED BULL RACING
2022,LEC,308,FERRARI
2022,PER,305,RED BULL RACING
2022,RUS,275,MERCEDES
2022,SAI,246,FERRARI
2022,HAM,240,MERCEDES
2022,RIC,37,MCLAREN
2021,MAX,395.5,RED BULL RACING
2021,HAM,387.5,MERCEDES
2021,PER,190,RED BULL RACING
2021,SAI,164.5,FERRARI
2021,LEC,159,FERRARI
2021,RIC,115,MCLAREN
2021,RUS,16,MERCEDES
2020,MAX,214,RED BULL RACING
2020,HAM,347,MERCEDES
2020,PER,125,RED BULL RACING
2020,SAI,105,FERRARI
2020,LEC,98,FERRARI
2020,RIC,119,MCLAREN
2020,RUS,3,MERCEDES
2019,MAX,278,RED BULL RACING
2019,HAM,413,MERCEDES
2019,PER,95,RED BULL RACING
2019,SAI,96,FERRARI
2019,LEC,264,FERRARI
2019,RIC,54,MCLAREN
2019,RUS,0,MERCEDES
2018,MAX,249,RED BULL RACING
2018,HAM,408,MERCEDES
2018,PER,62,RED BULL RACING
2018,SAI,53,FERRARI
2018,LEC,39,FERRARI
2018,RIC,170,MCLAREN
2018,RUS,0,MERCEDES